0;Quale era il nome delle Torri gemelle oggetto dell'attentato dell'11 settembre?;Twin Towers;Twinks Towers;Twist Towers;Nessuna delle risposte
1;"L'insostenibile leggerezza dell'essere" è opera di:;Kundera;Hesse;Kubrick;Kazan
2;Qual è il nome di un noto quartiere di Napoli?;Scampia;Scansia;Zen;Rampia
3;A chi è stato assegnato il LEone D'oro alla cariera alla Mostra del Cinema di Venezia del 1992?;Paolo Villaggio;Ugo Tognazzi;Marcello Mastroianni;Christian De Sica
4;In quale città è stato firmato un importante Protocollo in materia di tutela ambientale?;Kyoto;Shangay;Tokyo;Osaka
5;In quale materiale è realizzato il celebre David di Donatello?;Bronzo;Avorio;Marmo;Gesso
6;Chi è stato Presidente degli USA immediatamente prima di Barack Obama?;Bill Clinton;George Bush;Ronald Reagan;Jimmy Carter
7;La città famosa per i giardini pensili.;Babilonia;Genova;Londra;Varsavia
8;Cosa significa la sigla Ris nell'Arma dei Carabinieri?;Reparto investigazioni scientifiche;Reparto indagini sofisticazioni;Reggimento italiano sottufficiali;Raggruppamento italiano soldati
9;Cosa significa la sigla ONG?;Organizzazione Non Governativa;Ospedale Non Governativo;Organizzazione Nazionale Governativa;Ordine Nazionale Giornalisti
10;In occasione della riunificazione della Germania, cosa è stato abbattuto?;Il muro di Berlino;Il cancello del Reistag;La porta di Brandeburgo;La cortina d'acciaio
11;Come si chiama il premio in palio al festival internazionale del cinema di Venezia?;Leone d'oro;David di Donatello;Oscar della laguna;Palma d'oro
12;Chi fu soprannominato il "Flagello di Dio"?;Attila;Gengis Khan;Napoleone;Alessandro Magno
13;Chi è il capitano del Nautilus, il sottomarino nato dalla penna di Jules Verne?;Nemo;Phileas Fogg;Harvey Cheyne;Morgan
14;Il soprannome del re d'Italia Umberto I di Savoia;Il buono;Il testardo;Il crudele;Il moro
0;Come si chiama il canale che separa il Mediterraneo dal Mar Rosso?;Di Suez;Di Panama;Di Tunisi;Del Nilo
1;La regione italiana con più province e più comuni è:;la Lombardia;la Toscana;l'Emilia Romagna;il Piemonte
2;La Capitale dell'Algeria è:;Algeri;Fez;Abu Dabi;Tunisi
3;L’Italia è;Una Repubblica parlamentare;Una Repubblica presidenziale;Una Repubblica angioplastica;Una Monarchia costituzionale
4;Che cosa è il Suffragio universale?;Un sistema elettorale che attribuisce diritto di voto a tutti i cittadini;Un’antica religione indiana, legata al culto della pioggia;Un modo di gestire l’organizzazione amministrativa dello Stato;Una terribile calamità naturale riportata dalla Bibbia
5;Che cosa è la CONSOB?;La commissione nazionale che vigila sui mercati finanziari;La consulta nazionale degli obiettori di coscienza;L’associazione dei pescatori del Golfo dell'Ob’, una baia sul Mare Glaciale Artico;Un organo costituzionale che legifera su economia e lavoro
6;Il participio passato del verbo esigere è;Esatto;Esigito;Esigiuto;Esagitato
7;La parola millantatore indica:;Una persona che vanta qualità o proprietà non possedute;Una persona molto benestante;Una persona nata a cavallo del millennio;Un attore capace di interpretare molti ruoli diversi
8;Cos’è un neologismo?;Una parola od espressione entrata recentemente nella lingua;Una tecnica chirurgica per la rimozione degli angiomi benigni;Uno strappo muscolare al gomito, tipico del giocatore di tennis;Una parola inutile e superflua all’interno di una frase
9;Una persona che viene meno ai patti, che non mantiene le promesse fatte si dice:;Fedifrago;Fedigrafo;Fediffrago;Feddigrafo
10;Nella classifica degli oceani e mari più grandi al mondo, che posizione occupa il Mar Mediterraneo?;7 posizione;5 posizione;6 posizione;3 posizione
11;Quale delle seguenti frasi è corretta?;Se avessi giocato meglio, tu ed io avremmo vinto;Se giocavi meglio, io e te vincevamo;Se giocavi meglio, io e te avremmo vinto;Se avessi giocato meglio, tu ed io vincevamo
12;In quale anno il Fascismo emanò le cosiddette leggi razziali?;1938;1915;1933;1968
13;Quale fra i seguenti nomi non appartiene ad un noto designer?;Renato Soru;Achille Castiglioni;Richard Sapper;Paolo Ulian
14;La semiotica è;La disciplina che studia i segni, per mezzo dei quali avviene la comunicazione;La disciplina che studia i sogni e le loro conseguenze nella psicanalisi;Una branca della botanica che studia il modo di riprodursi delle piante;Una branca della psicanalisi, che si occupa delle persone con deficit da accudimento
